frame_idx,ground_truth,action_score_propagated,is_retained_tier
2948,0,0.23948609828948975,0
2949,0,0.23948609828948975,0
2950,0,0.23948609828948975,0
2951,0,0.23948609828948975,0
2952,0,0.23948609828948975,0
2953,0,0.23948609828948975,0
2954,0,0.23948609828948975,0
2955,0,0.23948609828948975,0
2956,0,0.23948609828948975,0
2957,0,0.23948609828948975,0
2958,0,0.2865038812160492,1
2959,0,0.2865038812160492,0
2960,0,0.2865038812160492,0
2961,0,0.2865038812160492,0
2962,0,0.2865038812160492,0
2963,0,0.2865038812160492,0
2964,0,0.2865038812160492,0
2965,0,0.2865038812160492,0
2966,0,0.4161891043186188,1
2967,0,0.4161891043186188,0
2968,0,0.4161891043186188,0
2969,0,0.4161891043186188,0
2970,0,0.4161891043186188,0
2971,0,0.4161891043186188,0
2972,0,0.4161891043186188,0
2973,0,0.4161891043186188,0
2974,0,0.23706799745559692,1
2975,0,0.23706799745559692,0
2976,0,0.23706799745559692,0
2977,0,0.23706799745559692,0
2978,0,0.23706799745559692,0
2979,0,0.23706799745559692,0
2980,0,0.23706799745559692,0
2981,0,0.23706799745559692,0
2982,0,0.23706799745559692,0
2983,0,0.23706799745559692,0
2984,0,0.23706799745559692,0
2985,0,0.23706799745559692,0
2986,0,0.23706799745559692,0
2987,0,0.23706799745559692,0
2988,0,0.23706799745559692,0
2989,0,0.23706799745559692,0
2990,0,0.23706799745559692,0
2991,0,0.23706799745559692,0
2992,0,0.23706799745559692,0
2993,0,0.23706799745559692,0
2994,0,0.23706799745559692,0
2995,0,0.23706799745559692,0
2996,0,0.308942049741745,1
2997,0,0.308942049741745,0
2998,0,0.308942049741745,0
2999,0,0.308942049741745,0
3000,0,0.8996138572692871,1
3001,0,0.8996138572692871,0
3002,0,0.8996138572692871,0
3003,0,0.5142128467559814,1
3004,0,0.5142128467559814,0
3005,0,0.5142128467559814,0
3006,0,0.5142128467559814,0
3007,0,0.5142128467559814,0
3008,0,0.5142128467559814,0
3009,0,0.5142128467559814,0
3010,0,0.5142128467559814,0
3011,0,0.5142128467559814,0
3012,0,0.5142128467559814,0
3013,0,0.5142128467559814,0
3014,0,0.5142128467559814,0
3015,0,0.5142128467559814,0
3016,0,0.5142128467559814,0
3017,0,0.5142128467559814,0
3018,0,0.5142128467559814,0
3019,0,0.2018664926290512,1
3020,0,0.2018664926290512,0
3021,0,0.2018664926290512,0
3022,0,0.2018664926290512,0
3023,0,0.2018664926290512,0
3024,0,0.2018664926290512,0
3025,0,0.2018664926290512,0
3026,0,0.40850967168807983,1
3027,0,0.40850967168807983,0
3028,0,0.40850967168807983,0
3029,0,0.40850967168807983,0
3030,0,0.40850967168807983,0
3031,0,0.40850967168807983,0
3032,0,0.40850967168807983,0
3033,0,0.40850967168807983,0
3034,0,0.24012959003448486,1
3035,0,0.24012959003448486,0
3036,0,0.24012959003448486,0
3037,0,0.24012959003448486,0
3038,0,0.24012959003448486,0
3039,0,0.24012959003448486,0
3040,0,0.24012959003448486,0
3041,0,0.24012959003448486,0
3042,0,0.24012959003448486,0
3043,0,0.24012959003448486,0
3044,0,0.24012959003448486,0
3045,0,0.24012959003448486,0
3046,0,0.24012959003448486,0
3047,0,0.24012959003448486,0
3048,0,0.293506383895874,1
3049,0,0.293506383895874,0
3050,0,0.293506383895874,0
3051,0,0.293506383895874,0
3052,0,0.293506383895874,0
3053,0,0.293506383895874,0
3054,0,0.293506383895874,0
3055,0,0.293506383895874,0
3056,0,0.394536554813385,1
3057,0,0.394536554813385,0
3058,0,0.394536554813385,0
3059,0,0.394536554813385,0
3060,0,0.394536554813385,0
3061,0,0.394536554813385,0
3062,0,0.394536554813385,0
3063,0,0.394536554813385,0
3064,0,0.24036741256713867,1
3065,0,0.24036741256713867,0
3066,0,0.24036741256713867,0
3067,0,0.24036741256713867,0
3068,0,0.24036741256713867,0
3069,0,0.24036741256713867,0
3070,0,0.24036741256713867,0
3071,0,0.24036741256713867,0
3072,0,0.24036741256713867,0
3073,0,0.24036741256713867,0
3074,0,0.24036741256713867,0
3075,0,0.24036741256713867,0
3076,0,0.24036741256713867,0
3077,0,0.24036741256713867,0
3078,0,0.24036741256713867,0
3079,0,0.24036741256713867,0
3080,0,0.24036741256713867,0
3081,0,0.24036741256713867,0
3082,0,0.24036741256713867,0
3083,0,0.24036741256713867,0
3084,0,0.24036741256713867,0
3085,0,0.24036741256713867,0
3086,0,0.42919057607650757,1
3087,0,0.42919057607650757,0
3088,0,0.42919057607650757,0
3089,0,0.42919057607650757,0
3090,0,0.42919057607650757,0
3091,0,0.42919057607650757,0
3092,0,0.42919057607650757,0
3093,0,0.42919057607650757,0
3094,0,0.26032382249832153,1
3095,0,0.26032382249832153,0
3096,0,0.26032382249832153,0
3097,0,0.26032382249832153,0
3098,0,0.26032382249832153,0
3099,0,0.26032382249832153,0
3100,0,0.26032382249832153,0
3101,0,0.26032382249832153,0
3102,0,0.26032382249832153,0
3103,0,0.26032382249832153,0
3104,0,0.26032382249832153,0
3105,0,0.26032382249832153,0
3106,0,0.26032382249832153,0
3107,0,0.21511025726795197,1
3108,0,0.21511025726795197,0
3109,0,0.21511025726795197,0
3110,0,0.21511025726795197,0
3111,0,0.21511025726795197,0
3112,0,0.21511025726795197,0
3113,0,0.21511025726795197,0
3114,0,0.21511025726795197,0
3115,0,0.21511025726795197,0
3116,0,0.3551117181777954,1
3117,0,0.2506900429725647,1
3118,0,0.2506900429725647,0
3119,0,0.2506900429725647,0
3120,0,0.2506900429725647,0
3121,0,0.2506900429725647,0
3122,0,0.2506900429725647,0
3123,0,0.2762509882450104,1
3124,0,0.2762509882450104,0
3125,0,0.2762509882450104,0
3126,0,0.2762509882450104,0
3127,0,0.2762509882450104,0
3128,0,0.2762509882450104,0
3129,0,0.2762509882450104,0
3130,0,0.2762509882450104,0
3131,0,0.2762509882450104,0
3132,0,0.2762509882450104,0
3133,0,0.2762509882450104,0
3134,0,0.2762509882450104,0
3135,0,0.2762509882450104,0
3136,0,0.2762509882450104,0
3137,0,0.2762509882450104,0
3138,0,0.2762509882450104,0
3139,0,0.2762509882450104,0
3140,0,0.2762509882450104,0
3141,0,0.2762509882450104,0
3142,0,0.2762509882450104,0
3143,0,0.2762509882450104,0
3144,0,0.2762509882450104,0
3145,0,0.2762509882450104,0
3146,0,0.24469774961471558,1
3147,0,0.24469774961471558,0
3148,0,0.24469774961471558,0
3149,0,0.24469774961471558,0
3150,0,0.24469774961471558,0
3151,0,0.24469774961471558,0
3152,0,0.24469774961471558,0
3153,0,0.5404226183891296,1
3154,0,0.5404226183891296,0
3155,0,0.5404226183891296,0
3156,0,0.5404226183891296,0
3157,0,0.5404226183891296,0
3158,0,0.5404226183891296,0
3159,0,0.5404226183891296,0
3160,0,0.5404226183891296,0
3161,0,0.5404226183891296,0
3162,0,0.5404226183891296,0
3163,0,0.5404226183891296,0
3164,0,0.5404226183891296,0
3165,0,0.5404226183891296,0
3166,0,0.5404226183891296,0
3167,0,0.5404226183891296,0
3168,0,0.5404226183891296,0
3169,0,0.5404226183891296,0
3170,0,0.5404226183891296,0
3171,0,0.5404226183891296,0
3172,0,0.5404226183891296,0
3173,0,0.5404226183891296,0
3174,0,0.5404226183891296,0
3175,0,0.5404226183891296,0
3176,0,0.39077797532081604,1
3177,0,0.39077797532081604,0
3178,0,0.39077797532081604,0
3179,0,0.39077797532081604,0
3180,0,0.39077797532081604,0
3181,0,0.39077797532081604,0
3182,0,0.39077797532081604,0
3183,0,0.39077797532081604,0
3184,0,0.2413223832845688,1
3185,0,0.2413223832845688,0
3186,0,0.2413223832845688,0
3187,0,0.2413223832845688,0
3188,0,0.2413223832845688,0
3189,0,0.2413223832845688,0
3190,0,0.2413223832845688,0
3191,0,0.2413223832845688,0
3192,0,0.2413223832845688,0
3193,0,0.2413223832845688,0
3194,0,0.2413223832845688,0
3195,0,0.2413223832845688,0
3196,0,0.2413223832845688,0
3197,0,0.21861006319522858,1
3198,0,0.21861006319522858,0
3199,0,0.21861006319522858,0
3200,0,0.21861006319522858,0
3201,0,0.21861006319522858,0
3202,0,0.21861006319522858,0
3203,0,0.21861006319522858,0
3204,0,0.21861006319522858,0
3205,0,0.21861006319522858,0
3206,0,0.32182908058166504,1
3207,0,0.32182908058166504,0
3208,0,0.32182908058166504,0
3209,0,0.32182908058166504,0
3210,0,0.32182908058166504,0
3211,0,0.32182908058166504,0
3212,0,0.32182908058166504,0
3213,0,0.20463281869888306,1
3214,0,0.2443404197692871,1
3215,0,0.2443404197692871,0
3216,0,0.2443404197692871,0
3217,0,0.2443404197692871,0
3218,0,0.2443404197692871,0
3219,0,0.2443404197692871,0
3220,0,0.2443404197692871,0
3221,0,0.2443404197692871,0
3222,0,0.2443404197692871,0
3223,0,0.2443404197692871,0
3224,0,0.2443404197692871,0
3225,0,0.2443404197692871,0
3226,0,0.2443404197692871,0
3227,0,0.2443404197692871,0
3228,0,0.2443404197692871,0
3229,0,0.1971988081932068,1
3230,0,0.1971988081932068,0
3231,0,0.1971988081932068,0
3232,0,0.1971988081932068,0
3233,0,0.1971988081932068,0
3234,0,0.1971988081932068,0
3235,0,0.20447275042533875,1
3236,0,0.3248591721057892,1
3237,0,0.3248591721057892,0
3238,0,0.3248591721057892,0
3239,0,0.3248591721057892,0
3240,0,0.3248591721057892,0
3241,0,0.3248591721057892,0
3242,0,0.3248591721057892,0
3243,0,0.3248591721057892,0
3244,0,0.2504543960094452,1
3245,0,0.2504543960094452,0
3246,0,0.2504543960094452,0
3247,0,0.2504543960094452,0
3248,0,0.2504543960094452,0
3249,0,0.2504543960094452,0
3250,0,0.8982042074203491,1
3251,0,0.8982042074203491,0
3252,0,0.8982042074203491,0
3253,0,0.8982042074203491,0
3254,0,0.8982042074203491,0
3255,0,0.8982042074203491,0
3256,0,0.8982042074203491,0
3257,0,0.19876474142074585,1
3258,0,0.19876474142074585,0
3259,0,0.19876474142074585,0
3260,0,0.19876474142074585,0
3261,0,0.19876474142074585,0
3262,0,0.19876474142074585,0
3263,0,0.19876474142074585,0
3264,0,0.19876474142074585,0
3265,0,0.19876474142074585,0
3266,0,0.3196231424808502,1
3267,0,0.18240772187709808,1
3268,0,0.18240772187709808,0
3269,0,0.18240772187709808,0
3270,0,0.18240772187709808,0
3271,0,0.18240772187709808,0
3272,0,0.18240772187709808,0
3273,0,0.18240772187709808,0
3274,0,0.235521137714386,1
3275,0,0.235521137714386,0
3276,0,0.235521137714386,0
3277,0,0.235521137714386,0
3278,0,0.235521137714386,0
3279,0,0.235521137714386,0
3280,0,0.235521137714386,0
3281,0,0.235521137714386,0
3282,0,0.235521137714386,0
3283,0,0.235521137714386,0
3284,0,0.235521137714386,0
3285,0,0.235521137714386,0
3286,0,0.235521137714386,0
3287,0,0.235521137714386,0
3288,0,0.235521137714386,0
3289,0,0.235521137714386,0
3290,0,0.235521137714386,0
3291,0,0.235521137714386,0
3292,0,0.235521137714386,0
3293,0,0.235521137714386,0
3294,0,0.235521137714386,0
3295,0,0.235521137714386,0
3296,0,0.3380158841609955,1
3297,0,0.3380158841609955,0
3298,0,0.3380158841609955,0
3299,0,0.3380158841609955,0
3300,0,0.3380158841609955,0
3301,0,0.3380158841609955,0
3302,0,0.3380158841609955,0
3303,0,0.5286847949028015,1
3304,0,0.5286847949028015,0
3305,0,0.5286847949028015,0
3306,0,0.5286847949028015,0
3307,0,0.5286847949028015,0
3308,0,0.5286847949028015,0
3309,0,0.5286847949028015,0
3310,0,0.5286847949028015,0
3311,0,0.5286847949028015,0
3312,0,0.5286847949028015,0
3313,0,0.5286847949028015,0
3314,0,0.5286847949028015,0
3315,0,0.5286847949028015,0
3316,0,0.5286847949028015,0
3317,0,0.5286847949028015,0
3318,0,0.32163524627685547,1
3319,0,0.32163524627685547,0
3320,0,0.32163524627685547,0
3321,0,0.32163524627685547,0
3322,0,0.32163524627685547,0
3323,0,0.32163524627685547,0
3324,0,0.32163524627685547,0
3325,0,0.32163524627685547,0
3326,0,0.44092899560928345,1
3327,0,0.44092899560928345,0
3328,0,0.44092899560928345,0
3329,0,0.44092899560928345,0
3330,0,0.44092899560928345,0
3331,0,0.44092899560928345,0
3332,0,0.44092899560928345,0
3333,0,0.20940333604812622,1
3334,0,0.2312776744365692,1
3335,0,0.2312776744365692,0
3336,0,0.2312776744365692,0
3337,0,0.2312776744365692,0
3338,0,0.2312776744365692,0
3339,0,0.2312776744365692,0
3340,0,0.2312776744365692,0
3341,0,0.2312776744365692,0
3342,0,0.2312776744365692,0
3343,0,0.2312776744365692,0
3344,0,0.2312776744365692,0
3345,0,0.2312776744365692,0
3346,0,0.2312776744365692,0
3347,0,0.2312776744365692,0
3348,0,0.2312776744365692,0
3349,0,0.19035105407238007,1
3350,0,0.19035105407238007,0
3351,0,0.19035105407238007,0
3352,0,0.19035105407238007,0
3353,0,0.19035105407238007,0
3354,0,0.19035105407238007,0
3355,0,0.19035105407238007,0
3356,0,0.42482513189315796,1
3357,0,0.42482513189315796,0
3358,0,0.42482513189315796,0
3359,0,0.42482513189315796,0
3360,0,0.42482513189315796,0
3361,0,0.42482513189315796,0
3362,0,0.42482513189315796,0
3363,0,0.42482513189315796,0
3364,0,0.24573630094528198,1
3365,0,0.24573630094528198,0
3366,0,0.24573630094528198,0
3367,0,0.24573630094528198,0
3368,0,0.24573630094528198,0
3369,0,0.24573630094528198,0
3370,0,0.24573630094528198,0
3371,0,0.24573630094528198,0
3372,0,0.24573630094528198,0
3373,0,0.24573630094528198,0
3374,0,0.24573630094528198,0
3375,0,0.24573630094528198,0
3376,0,0.24573630094528198,0
3377,0,0.24573630094528198,0
3378,0,0.24573630094528198,0
3379,0,0.19832007586956024,1
3380,0,0.19832007586956024,0
3381,0,0.19832007586956024,0
3382,0,0.19832007586956024,0
3383,0,0.19832007586956024,0
3384,0,0.19832007586956024,0
3385,0,0.19832007586956024,0
3386,0,0.4111124873161316,1
3387,0,0.4111124873161316,0
3388,0,0.4111124873161316,0
3389,0,0.4111124873161316,0
3390,0,0.4111124873161316,0
3391,0,0.4111124873161316,0
3392,0,0.4111124873161316,0
3393,0,0.4111124873161316,0
3394,0,0.24632880091667175,1
3395,0,0.24632880091667175,0
3396,0,0.24632880091667175,0
3397,0,0.24632880091667175,0
3398,0,0.24632880091667175,0
3399,0,0.24632880091667175,0
3400,0,0.24632880091667175,0
3401,0,0.24632880091667175,0
3402,0,0.24632880091667175,0
3403,0,0.24632880091667175,0
3404,0,0.24632880091667175,0
3405,0,0.24632880091667175,0
3406,0,0.24632880091667175,0
3407,0,0.24632880091667175,0
3408,0,0.24632880091667175,0
3409,0,0.20472556352615356,1
3410,0,0.20472556352615356,0
3411,0,0.20472556352615356,0
3412,0,0.20472556352615356,0
3413,0,0.20472556352615356,0
3414,0,0.20472556352615356,0
3415,0,0.20472556352615356,0
3416,0,0.39381155371665955,1
3417,0,0.39381155371665955,0
3418,0,0.39381155371665955,0
3419,0,0.39381155371665955,0
3420,0,0.39381155371665955,0
3421,0,0.39381155371665955,0
3422,0,0.39381155371665955,0
3423,0,0.39381155371665955,0
3424,0,0.23673805594444275,1
3425,0,0.23673805594444275,0
3426,0,0.23673805594444275,0
3427,0,0.23673805594444275,0
3428,0,0.23673805594444275,0
3429,0,0.23673805594444275,0
3430,0,0.23673805594444275,0
3431,0,0.23673805594444275,0
3432,0,0.23673805594444275,0
3433,0,0.23673805594444275,0
3434,0,0.23673805594444275,0
3435,0,0.23673805594444275,0
3436,0,0.23673805594444275,0
3437,0,0.23673805594444275,0
3438,0,0.23673805594444275,0
3439,0,0.23673805594444275,0
3440,0,0.23673805594444275,0
3441,0,0.23673805594444275,0
3442,0,0.23673805594444275,0
3443,0,0.23673805594444275,0
3444,0,0.23673805594444275,0
3445,0,0.23673805594444275,0
3446,0,0.3194803297519684,1
3447,0,0.3194803297519684,0
3448,0,0.3194803297519684,0
3449,0,0.3194803297519684,0
3450,0,0.3194803297519684,0
3451,0,0.3194803297519684,0
3452,0,0.3194803297519684,0
3453,0,0.5313239097595215,1
3454,0,0.5313239097595215,0
3455,0,0.5313239097595215,0
3456,0,0.5313239097595215,0
3457,0,0.5313239097595215,0
3458,0,0.5313239097595215,0
3459,0,0.5313239097595215,0
3460,0,0.5313239097595215,0
3461,0,0.5313239097595215,0
3462,0,0.5313239097595215,0
3463,0,0.5313239097595215,0
3464,0,0.5313239097595215,0
3465,0,0.5313239097595215,0
3466,0,0.5313239097595215,0
3467,0,0.5313239097595215,0
3468,0,0.5313239097595215,0
3469,0,0.18493565917015076,1
3470,0,0.18493565917015076,0
3471,0,0.18493565917015076,0
3472,0,0.18493565917015076,0
3473,0,0.18493565917015076,0
3474,0,0.18493565917015076,0
3475,0,0.18493565917015076,0
3476,0,0.4479043483734131,1
3477,0,0.4479043483734131,0
3478,0,0.4479043483734131,0
3479,0,0.4479043483734131,0
3480,0,0.4479043483734131,0
3481,0,0.4479043483734131,0
3482,0,0.4479043483734131,0
3483,0,0.4479043483734131,0
3484,0,0.2427426129579544,1
3485,0,0.2427426129579544,0
3486,0,0.2427426129579544,0
3487,0,0.2427426129579544,0
3488,0,0.2427426129579544,0
3489,0,0.2427426129579544,0
3490,0,0.2427426129579544,0
3491,0,0.2427426129579544,0
3492,0,0.2427426129579544,0
3493,0,0.2427426129579544,0
3494,0,0.2427426129579544,0
3495,0,0.2427426129579544,0
3496,0,0.2427426129579544,0
3497,0,0.2427426129579544,0
3498,0,0.2852752208709717,1
3499,0,0.2852752208709717,0
3500,1,0.8979119062423706,1
3501,1,0.8979119062423706,0
3502,1,0.8979119062423706,0
3503,1,0.8979119062423706,0
3504,1,0.8979119062423706,0
3505,1,0.8979119062423706,0
3506,1,0.8979119062423706,0
3507,1,0.4020702838897705,1
3508,1,0.4020702838897705,0
3509,1,0.4020702838897705,0
3510,1,0.4020702838897705,0
3511,1,0.4020702838897705,0
3512,1,0.4020702838897705,0
3513,1,0.4020702838897705,0
3514,1,0.4020702838897705,0
3515,1,0.2502562999725342,1
3516,1,0.2502562999725342,0
3517,1,0.2502562999725342,0
3518,1,0.2502562999725342,0
3519,1,0.2502562999725342,0
3520,1,0.2502562999725342,0
3521,1,0.2502562999725342,0
3522,1,0.2502562999725342,0
3523,1,0.2502562999725342,0
3524,1,0.2502562999725342,0
3525,1,0.2502562999725342,0
3526,1,0.2502562999725342,0
3527,1,0.2502562999725342,0
3528,1,0.2502562999725342,0
3529,1,0.2502562999725342,0
3530,1,0.2502562999725342,0
3531,1,0.2502562999725342,0
3532,1,0.2502562999725342,0
3533,1,0.2502562999725342,0
3534,1,0.2502562999725342,0
3535,1,0.2502562999725342,0
3536,1,0.2502562999725342,0
3537,1,0.4036852717399597,1
3538,1,0.4036852717399597,0
3539,1,0.4036852717399597,0
3540,1,0.4036852717399597,0
3541,1,0.4036852717399597,0
3542,1,0.4036852717399597,0
3543,1,0.4036852717399597,0
3544,1,0.4036852717399597,0
3545,1,0.23355472087860107,1
3546,1,0.23355472087860107,0
3547,1,0.23355472087860107,0
3548,1,0.23355472087860107,0
3549,1,0.23355472087860107,0
3550,1,0.23355472087860107,0
3551,1,0.23355472087860107,0
3552,1,0.23355472087860107,0
3553,1,0.23355472087860107,0
3554,1,0.23355472087860107,0
3555,1,0.23355472087860107,0
3556,1,0.23355472087860107,0
3557,1,0.23355472087860107,0
3558,1,0.23355472087860107,0
3559,1,0.25506195425987244,1
3560,1,0.25506195425987244,0
3561,1,0.25506195425987244,0
3562,1,0.25506195425987244,0
3563,1,0.25506195425987244,0
3564,1,0.25506195425987244,0
3565,1,0.25506195425987244,0
3566,1,0.25506195425987244,0
3567,1,0.4109337627887726,1
3568,1,0.4109337627887726,0
3569,1,0.4109337627887726,0
3570,1,0.4109337627887726,0
3571,1,0.4109337627887726,0
3572,1,0.4109337627887726,0
3573,1,0.4109337627887726,0
3574,1,0.24921351671218872,1
3575,1,0.24921351671218872,0
3576,1,0.24921351671218872,0
3577,1,0.24921351671218872,0
3578,1,0.24921351671218872,0
3579,1,0.24921351671218872,0
3580,1,0.24921351671218872,0
3581,1,0.24921351671218872,0
3582,1,0.24921351671218872,0
3583,1,0.24921351671218872,0
3584,1,0.24921351671218872,0
3585,1,0.24921351671218872,0
3586,1,0.24921351671218872,0
3587,1,0.24921351671218872,0
3588,1,0.24921351671218872,0
3589,1,0.24921351671218872,0
3590,1,0.24921351671218872,0
3591,1,0.24921351671218872,0
3592,1,0.24921351671218872,0
3593,1,0.24921351671218872,0
3594,1,0.24921351671218872,0
3595,1,0.24921351671218872,0
3596,1,0.24921351671218872,0
3597,1,0.33180129528045654,1
3598,1,0.33180129528045654,0
3599,1,0.33180129528045654,0
3600,1,0.33180129528045654,0
3601,1,0.33180129528045654,0
3602,1,0.33180129528045654,0
3603,1,0.33180129528045654,0
3604,1,0.5285096764564514,1
3605,1,0.5285096764564514,0
3606,1,0.5285096764564514,0
3607,1,0.5285096764564514,0
3608,1,0.5285096764564514,0
3609,1,0.5285096764564514,0
3610,1,0.5285096764564514,0
3611,1,0.5285096764564514,0
3612,1,0.5285096764564514,0
3613,1,0.5285096764564514,0
3614,1,0.5285096764564514,0
3615,1,0.5285096764564514,0
3616,1,0.5285096764564514,0
3617,1,0.5285096764564514,0
3618,1,0.5285096764564514,0
3619,1,0.2124214768409729,1
3620,1,0.2124214768409729,0
3621,1,0.2124214768409729,0
3622,1,0.2124214768409729,0
3623,1,0.2124214768409729,0
3624,1,0.2124214768409729,0
3625,1,0.2124214768409729,0
3626,1,0.2124214768409729,0
3627,1,0.439636766910553,1
3628,1,0.439636766910553,0
3629,1,0.439636766910553,0
3630,1,0.439636766910553,0
3631,1,0.439636766910553,0
3632,1,0.439636766910553,0
3633,1,0.439636766910553,0
3634,1,0.439636766910553,0
3635,1,0.24088835716247559,1
3636,1,0.24088835716247559,0
3637,1,0.24088835716247559,0
3638,1,0.24088835716247559,0
3639,1,0.24088835716247559,0
3640,1,0.24088835716247559,0
3641,1,0.24088835716247559,0
3642,1,0.24088835716247559,0
3643,1,0.24088835716247559,0
3644,1,0.24088835716247559,0
3645,1,0.24088835716247559,0
3646,1,0.24088835716247559,0
3647,1,0.24088835716247559,0
3648,1,0.24088835716247559,0
3649,1,0.24088835716247559,0
3650,1,0.24088835716247559,0
3651,1,0.24088835716247559,0
3652,1,0.24088835716247559,0
